valid_post_set,post_text_proportion,avg_post_word_count,prop_posts_with_date,dates_per_post,prop_posts_with_post_term,post_terms_per_post,avg_sent_length,cv_post_word_count,avg_post_similarity,lexical_diversity,words_per_line,mean_element_count,post_count
1,0.65,85.17,0.33,1.33,0.33,1.33,22.22,1.03,0.05,0.66,85.17,91.67,6
0,0.11,1.91,0.0,0.0,0.0,0.0,1.91,0.31,0.21,0.63,1.91,3.8,45
1,0.05,5.5,0.83,5.78,0.83,5.78,6.19,0.51,0.27,0.7,0.43,19.72,18
1,0.12,29.62,1.0,1.38,1.0,1.38,23.7,0.25,0.27,0.58,29.62,23.25,8
1,0.12,29.62,1.0,1.38,1.0,1.38,23.7,0.25,0.27,0.58,29.62,23.25,8
1,0.12,29.62,1.0,1.38,1.0,1.38,23.7,0.25,0.27,0.58,29.62,23.25,8
1,0.98,14.98,0.62,0.67,0.62,0.67,13.51,0.3,0.41,0.6,14.98,25.42,55
0,0.18,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.54,0.03,1.0,4.67,153
1,0.79,147.14,0.09,2.45,0.09,2.45,49.8,3.48,0.13,0.28,1.25,7.91,22
1,1.03,73.18,0.3,0.55,0.3,0.55,30.13,0.52,0.1,0.35,1.37,32.84,56
0,0.06,3.15,0.0,0.0,0.0,0.0,3.15,0.48,0.63,0.42,0.63,4.03,75
1,0.47,23.93,0.27,0.33,0.27,0.33,16.32,0.94,0.21,0.6,3.02,10.13,15
0,0.02,3.4,0.0,0.0,0.0,0.0,3.4,0.61,0.28,0.94,3.4,4.4,5
1,0.38,19.29,0.61,1.2,0.61,1.2,14.91,0.33,0.36,0.7,6.43,12.76,51
0,0.14,3.59,0.02,0.02,0.02,0.02,3.46,1.33,0.31,0.81,1.74,4.11,103
1,0.91,66.04,0.04,0.04,0.04,0.04,12.17,0.46,0.05,0.58,0.65,61.68,47
1,0.94,40.94,0.06,0.06,0.06,0.06,25.38,0.2,0.09,0.58,40.94,52.87,31
0,0.11,1.81,0.0,0.0,0.0,0.0,1.81,0.55,0.2,0.71,1.81,4.71,80
1,0.86,82.84,1.0,2.32,1.0,2.32,13.11,0.44,0.46,0.12,4.28,16.84,25
